"Focal_strain","Bact_community","Phage_presence","Time_day","Pop","Density","Rep_pop","Study"
"PAO1","Pa",1,4,"PT7",6e+07,"1","Mumford_Friman"
"PAO1","Pa",1,4,"PT7",5.1e+08,"2","Mumford_Friman"
"PAO1","Pa",1,4,"PT7",1.01e+09,"3","Mumford_Friman"
"PAO1","Pa",1,4,"PT7",3e+09,"4","Mumford_Friman"
"PAO1","Pa",1,4,"PT7",8.9e+08,"5","Mumford_Friman"
"lasR","Pa",1,4,"PT7",8e+07,"1","Mumford_Friman"
"lasR","Pa",1,4,"PT7",1.9e+08,"2","Mumford_Friman"
"lasR","Pa",1,4,"PT7",3e+09,"3","Mumford_Friman"
"lasR","Pa",1,4,"PT7",1.13e+09,"4","Mumford_Friman"
"lasR","Pa",1,4,"PT7",1.29e+09,"5","Mumford_Friman"
"PAO1","Pa+Sa",1,4,"PT7",0,"1","Mumford_Friman"
"PAO1","Pa+Sa",1,4,"PT7",7e+08,"2","Mumford_Friman"
"PAO1","Pa+Sa",1,4,"PT7",3.6e+08,"3","Mumford_Friman"
"PAO1","Pa+Sa",1,4,"PT7",1.44e+09,"4","Mumford_Friman"
"PAO1","Pa+Sa",1,4,"PT7",1.71e+09,"5","Mumford_Friman"
"PAO1","Pa+Sm",1,4,"PT7",2e+07,"1","Mumford_Friman"
"PAO1","Pa+Sm",1,4,"PT7",9.5e+08,"2","Mumford_Friman"
"PAO1","Pa+Sm",1,4,"PT7",3e+08,"3","Mumford_Friman"
"PAO1","Pa+Sm",1,4,"PT7",2.8e+08,"4","Mumford_Friman"
"PAO1","Pa+Sm",1,4,"PT7",6.1e+08,"5","Mumford_Friman"
"lasR","Pa+Sa",1,4,"PT7",1.3e+08,"1","Mumford_Friman"
"lasR","Pa+Sa",1,4,"PT7",7.7e+08,"2","Mumford_Friman"
"lasR","Pa+Sa",1,4,"PT7",1.8e+09,"3","Mumford_Friman"
"lasR","Pa+Sa",1,4,"PT7",1.2e+08,"4","Mumford_Friman"
"lasR","Pa+Sa",1,4,"PT7",2.4e+08,"5","Mumford_Friman"
"lasR","Pa+Sm",1,4,"PT7",3e+07,"1","Mumford_Friman"
"lasR","Pa+Sm",1,4,"PT7",7.5e+08,"2","Mumford_Friman"
"lasR","Pa+Sm",1,4,"PT7",3e+09,"3","Mumford_Friman"
"lasR","Pa+Sm",1,4,"PT7",7e+08,"4","Mumford_Friman"
"lasR","Pa+Sm",1,4,"PT7",1.2e+08,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,4,"PT7",2e+07,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,4,"PT7",2.6e+08,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,4,"PT7",5.3e+08,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,4,"PT7",4.8e+08,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,4,"PT7",3e+09,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,4,"PT7",9e+07,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,4,"PT7",1.18e+09,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,4,"PT7",2e+07,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,4,"PT7",1.62e+09,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,4,"PT7",1e+07,"5","Mumford_Friman"
"PAO1","Pa",1,8,"PT7",3e+08,"1","Mumford_Friman"
"PAO1","Pa",1,8,"PT7",3e+08,"2","Mumford_Friman"
"PAO1","Pa",1,8,"PT7",3e+08,"3","Mumford_Friman"
"PAO1","Pa",1,8,"PT7",3e+08,"4","Mumford_Friman"
"PAO1","Pa",1,8,"PT7",6.6e+07,"5","Mumford_Friman"
"lasR","Pa",1,8,"PT7",1.1e+08,"1","Mumford_Friman"
"lasR","Pa",1,8,"PT7",6.9e+07,"2","Mumford_Friman"
"lasR","Pa",1,8,"PT7",2e+08,"3","Mumford_Friman"
"lasR","Pa",1,8,"PT7",1.35e+08,"4","Mumford_Friman"
"lasR","Pa",1,8,"PT7",7.2e+07,"5","Mumford_Friman"
"PAO1","Pa+Sa",1,8,"PT7",7e+06,"1","Mumford_Friman"
"PAO1","Pa+Sa",1,8,"PT7",2.4e+07,"2","Mumford_Friman"
"PAO1","Pa+Sa",1,8,"PT7",2.2e+07,"3","Mumford_Friman"
"PAO1","Pa+Sa",1,8,"PT7",1.19e+08,"4","Mumford_Friman"
"PAO1","Pa+Sa",1,8,"PT7",6.9e+07,"5","Mumford_Friman"
"PAO1","Pa+Sm",1,8,"PT7",9e+06,"1","Mumford_Friman"
"PAO1","Pa+Sm",1,8,"PT7",9e+07,"2","Mumford_Friman"
"PAO1","Pa+Sm",1,8,"PT7",3e+06,"3","Mumford_Friman"
"PAO1","Pa+Sm",1,8,"PT7",7e+06,"4","Mumford_Friman"
"PAO1","Pa+Sm",1,8,"PT7",3e+08,"5","Mumford_Friman"
"lasR","Pa+Sa",1,8,"PT7",3e+08,"1","Mumford_Friman"
"lasR","Pa+Sa",1,8,"PT7",1.18e+08,"2","Mumford_Friman"
"lasR","Pa+Sa",1,8,"PT7",3e+08,"3","Mumford_Friman"
"lasR","Pa+Sa",1,8,"PT7",1.3e+07,"4","Mumford_Friman"
"lasR","Pa+Sa",1,8,"PT7",1.26e+08,"5","Mumford_Friman"
"lasR","Pa+Sm",1,8,"PT7",1.59e+08,"1","Mumford_Friman"
"lasR","Pa+Sm",1,8,"PT7",8.2e+07,"2","Mumford_Friman"
"lasR","Pa+Sm",1,8,"PT7",9.3e+07,"3","Mumford_Friman"
"lasR","Pa+Sm",1,8,"PT7",1.02e+08,"4","Mumford_Friman"
"lasR","Pa+Sm",1,8,"PT7",3e+08,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,8,"PT7",9.1e+07,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,8,"PT7",9e+06,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,8,"PT7",1.73e+08,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,8,"PT7",1.2e+07,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,8,"PT7",3e+08,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,8,"PT7",8.1e+07,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,8,"PT7",2.2e+07,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,8,"PT7",1.96e+08,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,8,"PT7",1.8e+07,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,8,"PT7",2e+08,"5","Mumford_Friman"
"PAO1","Pa",1,12,"PT7",1.33e+08,"1","Mumford_Friman"
"PAO1","Pa",1,12,"PT7",3e+08,"2","Mumford_Friman"
"PAO1","Pa",1,12,"PT7",2.5e+07,"3","Mumford_Friman"
"PAO1","Pa",1,12,"PT7",8.6e+07,"4","Mumford_Friman"
"PAO1","Pa",1,12,"PT7",3e+08,"5","Mumford_Friman"
"lasR","Pa",1,12,"PT7",4.5e+07,"1","Mumford_Friman"
"lasR","Pa",1,12,"PT7",3.3e+07,"2","Mumford_Friman"
"lasR","Pa",1,12,"PT7",1e+07,"3","Mumford_Friman"
"lasR","Pa",1,12,"PT7",8e+07,"4","Mumford_Friman"
"lasR","Pa",1,12,"PT7",1.03e+08,"5","Mumford_Friman"
"PAO1","Pa+Sa",1,12,"PT7",76000,"1","Mumford_Friman"
"PAO1","Pa+Sa",1,12,"PT7",3e+05,"2","Mumford_Friman"
"PAO1","Pa+Sa",1,12,"PT7",250000,"3","Mumford_Friman"
"PAO1","Pa+Sa",1,12,"PT7",5e+07,"4","Mumford_Friman"
"PAO1","Pa+Sa",1,12,"PT7",3e+08,"5","Mumford_Friman"
"PAO1","Pa+Sm",1,12,"PT7",1e+06,"1","Mumford_Friman"
"PAO1","Pa+Sm",1,12,"PT7",3e+06,"2","Mumford_Friman"
"PAO1","Pa+Sm",1,12,"PT7",1e+07,"3","Mumford_Friman"
"PAO1","Pa+Sm",1,12,"PT7",5e+06,"4","Mumford_Friman"
"PAO1","Pa+Sm",1,12,"PT7",1e+06,"5","Mumford_Friman"
"lasR","Pa+Sa",1,12,"PT7",3.7e+07,"1","Mumford_Friman"
"lasR","Pa+Sa",1,12,"PT7",2e+06,"2","Mumford_Friman"
"lasR","Pa+Sa",1,12,"PT7",3e+08,"3","Mumford_Friman"
"lasR","Pa+Sa",1,12,"PT7",3e+06,"4","Mumford_Friman"
"lasR","Pa+Sa",1,12,"PT7",5e+06,"5","Mumford_Friman"
"lasR","Pa+Sm",1,12,"PT7",7.2e+07,"1","Mumford_Friman"
"lasR","Pa+Sm",1,12,"PT7",4e+06,"2","Mumford_Friman"
"lasR","Pa+Sm",1,12,"PT7",8.4e+07,"3","Mumford_Friman"
"lasR","Pa+Sm",1,12,"PT7",1.69e+08,"4","Mumford_Friman"
"lasR","Pa+Sm",1,12,"PT7",3e+08,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,12,"PT7",3e+05,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,12,"PT7",3e+05,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,12,"PT7",5.1e+07,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,12,"PT7",1.17e+08,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,12,"PT7",3e+08,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,12,"PT7",1.7e+07,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,12,"PT7",7.5e+07,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,12,"PT7",1.41e+08,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,12,"PT7",3e+08,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,12,"PT7",3e+08,"5","Mumford_Friman"
"PAO1","Pa",1,16,"PT7",5.6e+07,"1","Mumford_Friman"
"PAO1","Pa",1,16,"P_aeruginosa",24500000,"1","Mumford_Friman"
"PAO1","Pa",1,16,"PT7",9.1e+07,"2","Mumford_Friman"
"PAO1","Pa",1,16,"P_aeruginosa",1.7e+07,"2","Mumford_Friman"
"PAO1","Pa",1,16,"PT7",5.9e+07,"3","Mumford_Friman"
"PAO1","Pa",1,16,"P_aeruginosa",3.6e+07,"3","Mumford_Friman"
"PAO1","Pa",1,16,"PT7",1.53e+08,"4","Mumford_Friman"
"PAO1","Pa",1,16,"P_aeruginosa",6100000,"4","Mumford_Friman"
"PAO1","Pa",1,16,"PT7",1.54e+08,"5","Mumford_Friman"
"PAO1","Pa",1,16,"P_aeruginosa",17300000,"5","Mumford_Friman"
"lasR","Pa",1,16,"PT7",6.6e+07,"1","Mumford_Friman"
"lasR","Pa",1,16,"P_aeruginosa",15700000,"1","Mumford_Friman"
"lasR","Pa",1,16,"PT7",8e+06,"2","Mumford_Friman"
"lasR","Pa",1,16,"P_aeruginosa",16100000,"2","Mumford_Friman"
"lasR","Pa",1,16,"PT7",1.27e+08,"3","Mumford_Friman"
"lasR","Pa",1,16,"P_aeruginosa",5700000,"3","Mumford_Friman"
"lasR","Pa",1,16,"PT7",1.48e+08,"4","Mumford_Friman"
"lasR","Pa",1,16,"P_aeruginosa",82400000,"4","Mumford_Friman"
"lasR","Pa",1,16,"PT7",6.9e+07,"5","Mumford_Friman"
"lasR","Pa",1,16,"P_aeruginosa",41400000,"5","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"PT7",3e+08,"1","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"P_aeruginosa",560000,"1","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"PT7",112000,"2","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"P_aeruginosa",0,"2","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"PT7",129000,"3","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"P_aeruginosa",0,"3","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"PT7",3e+08,"4","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"P_aeruginosa",340000,"4","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"PT7",2.21e+08,"5","Mumford_Friman"
"PAO1","Pa+Sa",1,16,"P_aeruginosa",2010000,"5","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"PT7",68000,"1","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"P_aeruginosa",0,"1","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"PT7",1.5e+07,"2","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"P_aeruginosa",4e+05,"2","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"PT7",3.7e+07,"3","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"P_aeruginosa",0,"3","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"PT7",176000,"4","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"P_aeruginosa",0,"4","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"PT7",3e+05,"5","Mumford_Friman"
"PAO1","Pa+Sm",1,16,"P_aeruginosa",2e+06,"5","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",3e+05,"1","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",3600000,"1","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",3.6e+07,"2","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",410000,"2","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",3e+08,"3","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",2900000,"3","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",76000,"4","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",186000,"4","Mumford_Friman"
"lasR","Pa+Sa",1,16,"PT7",1.4e+07,"5","Mumford_Friman"
"lasR","Pa+Sa",1,16,"P_aeruginosa",45000,"5","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",1.62e+08,"1","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",10600000,"1","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",8.8e+07,"2","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",1.2e+07,"2","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",6.4e+07,"3","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",27600000,"3","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",2.21e+08,"4","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",20600000,"4","Mumford_Friman"
"lasR","Pa+Sm",1,16,"PT7",2.01e+08,"5","Mumford_Friman"
"lasR","Pa+Sm",1,16,"P_aeruginosa",10300000,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",8e+06,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",348000,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",137000,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",0,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",1.3e+07,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",1550000,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",9e+06,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",5100000,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"PT7",6.4e+07,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",1,16,"P_aeruginosa",6e+05,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",4.2e+07,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",2300000,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",2.16e+08,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",16500000,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",1.82e+08,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",1.7e+07,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",1.22e+08,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",14300000,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"PT7",1.75e+08,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",1,16,"P_aeruginosa",720000,"5","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.02e+08,"1","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.03e+08,"2","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.27e+08,"3","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.01e+08,"4","Mumford_Friman"
"PAO1","Pa",0,16,"P_aeruginosa",1.7e+07,"5","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",4.9e+07,"1","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",16800000,"2","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",1.09e+08,"3","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",4.5e+07,"4","Mumford_Friman"
"lasR","Pa",0,16,"P_aeruginosa",16100000,"5","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",4600000,"1","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",3920000,"2","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",1080000,"3","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",1100000,"4","Mumford_Friman"
"PAO1","Pa+Sa",0,16,"P_aeruginosa",11900000,"5","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",680000,"1","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",83000,"2","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",1250000,"3","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",720000,"4","Mumford_Friman"
"PAO1","Pa+Sm",0,16,"P_aeruginosa",147000,"5","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",10400000,"1","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",1980000,"2","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",13200000,"3","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",1.8e+07,"4","Mumford_Friman"
"lasR","Pa+Sa",0,16,"P_aeruginosa",14200000,"5","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",7900000,"1","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",7700000,"2","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",290000,"3","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",8100000,"4","Mumford_Friman"
"lasR","Pa+Sm",0,16,"P_aeruginosa",610000,"5","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",1030000,"1","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",1020000,"2","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",2110000,"3","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",310000,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",75000,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",8100000,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",2400000,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",8500000,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",3380000,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",14300000,"5","Mumford_Friman"
"PA14","PA",1,0,"PA14",3020000,"Inoc","Alseth_etal"
"PA14","PA",1,0,"PA14",3200000,"Inoc","Alseth_etal"
"PA14","PA",1,0,"PA14",3760000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"PA14",544000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"PA14",574000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"PA14",582000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"SA",8100000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"SA",6700000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"SA",7200000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"PA14",3280000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"PA14",3400000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"PA14",3640000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"AB",17200000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"AB",14480000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"AB",16880000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"PA14",730000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"PA14",774000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"PA14",756000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"BC",6880000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"BC",7200000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"BC",6920000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"PA14",820000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"PA14",722000,"Inoc","Alseth_etal"
