Original text,Time,Pseudomonas,Competitor Presence,Competitor Community,Treatmentcode,PhagesPerML
1 PAO1 0 0 1 60000000,1,PAO1,0,0,1,60000000
1 PAO1 0 0 1 510000000,1,PAO1,0,0,1,510000000
1 PAO1 0 0 1 1010000000,1,PAO1,0,0,1,1010000000
1 PAO1 0 0 1 3000000000,1,PAO1,0,0,1,3000000000
1 PAO1 0 0 1 890000000,1,PAO1,0,0,1,890000000
1 lasR 0 0 2 80000000,1,lasR,0,0,2,80000000
1 lasR 0 0 2 190000000,1,lasR,0,0,2,190000000
1 lasR 0 0 2 3000000000,1,lasR,0,0,2,3000000000
1 lasR 0 0 2 1130000000,1,lasR,0,0,2,1130000000
1 lasR 0 0 2 1290000000,1,lasR,0,0,2,1290000000
1 PAO1 1 Sa 3 0,1,PAO1,1,Sa,3,0
1 PAO1 1 Sa 3 700000000,1,PAO1,1,Sa,3,700000000
1 PAO1 1 Sa 3 360000000,1,PAO1,1,Sa,3,360000000
1 PAO1 1 Sa 3 1440000000,1,PAO1,1,Sa,3,1440000000
1 PAO1 1 Sa 3 1710000000,1,PAO1,1,Sa,3,1710000000
1 PAO1 1 Sm 4 20000000,1,PAO1,1,Sm,4,20000000
1 PAO1 1 Sm 4 950000000,1,PAO1,1,Sm,4,950000000
1 PAO1 1 Sm 4 300000000,1,PAO1,1,Sm,4,300000000
1 PAO1 1 Sm 4 280000000,1,PAO1,1,Sm,4,280000000
1 PAO1 1 Sm 4 610000000,1,PAO1,1,Sm,4,610000000
1 lasR 1 Sa 5 130000000,1,lasR,1,Sa,5,130000000
1 lasR 1 Sa 5 770000000,1,lasR,1,Sa,5,770000000
1 lasR 1 Sa 5 1800000000,1,lasR,1,Sa,5,1800000000
1 lasR 1 Sa 5 120000000,1,lasR,1,Sa,5,120000000
1 lasR 1 Sa 5 240000000,1,lasR,1,Sa,5,240000000
1 lasR 1 Sm 6 30000000,1,lasR,1,Sm,6,30000000
1 lasR 1 Sm 6 750000000,1,lasR,1,Sm,6,750000000
1 lasR 1 Sm 6 3000000000,1,lasR,1,Sm,6,3000000000
1 lasR 1 Sm 6 700000000,1,lasR,1,Sm,6,700000000
1 lasR 1 Sm 6 120000000,1,lasR,1,Sm,6,120000000
1 PAO1 2 Sa+Sm 7 20000000,1,PAO1,2,Sa+Sm,7,20000000
1 PAO1 2 Sa+Sm 7 260000000,1,PAO1,2,Sa+Sm,7,260000000
1 PAO1 2 Sa+Sm 7 530000000,1,PAO1,2,Sa+Sm,7,530000000
1 PAO1 2 Sa+Sm 7 480000000,1,PAO1,2,Sa+Sm,7,480000000
1 PAO1 2 Sa+Sm 7 3000000000,1,PAO1,2,Sa+Sm,7,3000000000
1 lasR 2 Sa+Sm 8 90000000,1,lasR,2,Sa+Sm,8,90000000
1 lasR 2 Sa+Sm 8 1180000000,1,lasR,2,Sa+Sm,8,1180000000
1 lasR 2 Sa+Sm 8 20000000,1,lasR,2,Sa+Sm,8,20000000
1 lasR 2 Sa+Sm 8 1620000000,1,lasR,2,Sa+Sm,8,1620000000
1 lasR 2 Sa+Sm 8 10000000,1,lasR,2,Sa+Sm,8,10000000
2 PAO1 0 0 1 300000000,2,PAO1,0,0,1,300000000
2 PAO1 0 0 1 300000000,2,PAO1,0,0,1,300000000
2 PAO1 0 0 1 300000000,2,PAO1,0,0,1,300000000
2 PAO1 0 0 1 300000000,2,PAO1,0,0,1,300000000
2 PAO1 0 0 1 66000000,2,PAO1,0,0,1,66000000
2 lasR 0 0 2 110000000,2,lasR,0,0,2,110000000
2 lasR 0 0 2 69000000,2,lasR,0,0,2,69000000
2 lasR 0 0 2 200000000,2,lasR,0,0,2,200000000
2 lasR 0 0 2 135000000,2,lasR,0,0,2,135000000
2 lasR 0 0 2 72000000,2,lasR,0,0,2,72000000
2 PAO1 1 Sa 3 7000000,2,PAO1,1,Sa,3,7000000
2 PAO1 1 Sa 3 24000000,2,PAO1,1,Sa,3,24000000
2 PAO1 1 Sa 3 22000000,2,PAO1,1,Sa,3,22000000
2 PAO1 1 Sa 3 119000000,2,PAO1,1,Sa,3,119000000
2 PAO1 1 Sa 3 69000000,2,PAO1,1,Sa,3,69000000
2 PAO1 1 Sm 4 9000000,2,PAO1,1,Sm,4,9000000
2 PAO1 1 Sm 4 90000000,2,PAO1,1,Sm,4,90000000
2 PAO1 1 Sm 4 3000000,2,PAO1,1,Sm,4,3000000
2 PAO1 1 Sm 4 7000000,2,PAO1,1,Sm,4,7000000
2 PAO1 1 Sm 4 300000000,2,PAO1,1,Sm,4,300000000
2 lasR 1 Sa 5 300000000,2,lasR,1,Sa,5,300000000
2 lasR 1 Sa 5 118000000,2,lasR,1,Sa,5,118000000
2 lasR 1 Sa 5 300000000,2,lasR,1,Sa,5,300000000
2 lasR 1 Sa 5 13000000,2,lasR,1,Sa,5,13000000
2 lasR 1 Sa 5 126000000,2,lasR,1,Sa,5,126000000
2 lasR 1 Sm 6 159000000,2,lasR,1,Sm,6,159000000
2 lasR 1 Sm 6 82000000,2,lasR,1,Sm,6,82000000
2 lasR 1 Sm 6 93000000,2,lasR,1,Sm,6,93000000
2 lasR 1 Sm 6 102000000,2,lasR,1,Sm,6,102000000
2 lasR 1 Sm 6 300000000,2,lasR,1,Sm,6,300000000
2 PAO1 2 Sa+Sm 7 91000000,2,PAO1,2,Sa+Sm,7,91000000
2 PAO1 2 Sa+Sm 7 9000000,2,PAO1,2,Sa+Sm,7,9000000
2 PAO1 2 Sa+Sm 7 173000000,2,PAO1,2,Sa+Sm,7,173000000
2 PAO1 2 Sa+Sm 7 12000000,2,PAO1,2,Sa+Sm,7,12000000
2 PAO1 2 Sa+Sm 7 300000000,2,PAO1,2,Sa+Sm,7,300000000
2 lasR 2 Sa+Sm 8 81000000,2,lasR,2,Sa+Sm,8,81000000
2 lasR 2 Sa+Sm 8 22000000,2,lasR,2,Sa+Sm,8,22000000
2 lasR 2 Sa+Sm 8 196000000,2,lasR,2,Sa+Sm,8,196000000
2 lasR 2 Sa+Sm 8 18000000,2,lasR,2,Sa+Sm,8,18000000
2 lasR 2 Sa+Sm 8 200000000,2,lasR,2,Sa+Sm,8,200000000
3 PAO1 0 0 1 133000000,3,PAO1,0,0,1,133000000
3 PAO1 0 0 1 300000000,3,PAO1,0,0,1,300000000
3 PAO1 0 0 1 25000000,3,PAO1,0,0,1,25000000
3 PAO1 0 0 1 86000000,3,PAO1,0,0,1,86000000
3 PAO1 0 0 1 300000000,3,PAO1,0,0,1,300000000
3 lasR 0 0 2 45000000,3,lasR,0,0,2,45000000
3 lasR 0 0 2 33000000,3,lasR,0,0,2,33000000
3 lasR 0 0 2 10000000,3,lasR,0,0,2,10000000
3 lasR 0 0 2 80000000,3,lasR,0,0,2,80000000
3 lasR 0 0 2 103000000,3,lasR,0,0,2,103000000
3 PAO1 1 Sa 3 76000,3,PAO1,1,Sa,3,76000
3 PAO1 1 Sa 3 300000,3,PAO1,1,Sa,3,300000
3 PAO1 1 Sa 3 250000,3,PAO1,1,Sa,3,250000
3 PAO1 1 Sa 3 50000000,3,PAO1,1,Sa,3,50000000
3 PAO1 1 Sa 3 300000000,3,PAO1,1,Sa,3,300000000
3 PAO1 1 Sm 4 1000000,3,PAO1,1,Sm,4,1000000
3 PAO1 1 Sm 4 3000000,3,PAO1,1,Sm,4,3000000
3 PAO1 1 Sm 4 10000000,3,PAO1,1,Sm,4,10000000
3 PAO1 1 Sm 4 5000000,3,PAO1,1,Sm,4,5000000
3 PAO1 1 Sm 4 1000000,3,PAO1,1,Sm,4,1000000
3 lasR 1 Sa 5 37000000,3,lasR,1,Sa,5,37000000
3 lasR 1 Sa 5 2000000,3,lasR,1,Sa,5,2000000
3 lasR 1 Sa 5 300000000,3,lasR,1,Sa,5,300000000
3 lasR 1 Sa 5 3000000,3,lasR,1,Sa,5,3000000
3 lasR 1 Sa 5 5000000,3,lasR,1,Sa,5,5000000
3 lasR 1 Sm 6 72000000,3,lasR,1,Sm,6,72000000
3 lasR 1 Sm 6 4000000,3,lasR,1,Sm,6,4000000
3 lasR 1 Sm 6 84000000,3,lasR,1,Sm,6,84000000
3 lasR 1 Sm 6 169000000,3,lasR,1,Sm,6,169000000
3 lasR 1 Sm 6 300000000,3,lasR,1,Sm,6,300000000
3 PAO1 2 Sa+Sm 7 300000,3,PAO1,2,Sa+Sm,7,300000
3 PAO1 2 Sa+Sm 7 300000,3,PAO1,2,Sa+Sm,7,300000
3 PAO1 2 Sa+Sm 7 51000000,3,PAO1,2,Sa+Sm,7,51000000
3 PAO1 2 Sa+Sm 7 117000000,3,PAO1,2,Sa+Sm,7,117000000
3 PAO1 2 Sa+Sm 7 300000000,3,PAO1,2,Sa+Sm,7,300000000
3 lasR 2 Sa+Sm 8 17000000,3,lasR,2,Sa+Sm,8,17000000
3 lasR 2 Sa+Sm 8 75000000,3,lasR,2,Sa+Sm,8,75000000
3 lasR 2 Sa+Sm 8 141000000,3,lasR,2,Sa+Sm,8,141000000
3 lasR 2 Sa+Sm 8 300000000,3,lasR,2,Sa+Sm,8,300000000
3 lasR 2 Sa+Sm 8 300000000,3,lasR,2,Sa+Sm,8,300000000
4 PAO1 0 0 1 56000000,4,PAO1,0,0,1,56000000
4 PAO1 0 0 1 91000000,4,PAO1,0,0,1,91000000
4 PAO1 0 0 1 59000000,4,PAO1,0,0,1,59000000
4 PAO1 0 0 1 153000000,4,PAO1,0,0,1,153000000
4 PAO1 0 0 1 154000000,4,PAO1,0,0,1,154000000
4 lasR 0 0 2 66000000,4,lasR,0,0,2,66000000
4 lasR 0 0 2 8000000,4,lasR,0,0,2,8000000
4 lasR 0 0 2 127000000,4,lasR,0,0,2,127000000
4 lasR 0 0 2 148000000,4,lasR,0,0,2,148000000
4 lasR 0 0 2 69000000,4,lasR,0,0,2,69000000
4 PAO1 1 Sa 3 300000000,4,PAO1,1,Sa,3,300000000
4 PAO1 1 Sa 3 112000,4,PAO1,1,Sa,3,112000
4 PAO1 1 Sa 3 129000,4,PAO1,1,Sa,3,129000
4 PAO1 1 Sa 3 300000000,4,PAO1,1,Sa,3,300000000
4 PAO1 1 Sa 3 221000000,4,PAO1,1,Sa,3,221000000
4 PAO1 1 Sm 4 68000,4,PAO1,1,Sm,4,68000
4 PAO1 1 Sm 4 15000000,4,PAO1,1,Sm,4,15000000
4 PAO1 1 Sm 4 37000000,4,PAO1,1,Sm,4,37000000
4 PAO1 1 Sm 4 176000,4,PAO1,1,Sm,4,176000
4 PAO1 1 Sm 4 300000,4,PAO1,1,Sm,4,300000
4 lasR 1 Sa 5 300000,4,lasR,1,Sa,5,300000
4 lasR 1 Sa 5 36000000,4,lasR,1,Sa,5,36000000
4 lasR 1 Sa 5 300000000,4,lasR,1,Sa,5,300000000
4 lasR 1 Sa 5 76000,4,lasR,1,Sa,5,76000
4 lasR 1 Sa 5 14000000,4,lasR,1,Sa,5,14000000
4 lasR 1 Sm 6 162000000,4,lasR,1,Sm,6,162000000
4 lasR 1 Sm 6 88000000,4,lasR,1,Sm,6,88000000
4 lasR 1 Sm 6 64000000,4,lasR,1,Sm,6,64000000
4 lasR 1 Sm 6 221000000,4,lasR,1,Sm,6,221000000
4 lasR 1 Sm 6 201000000,4,lasR,1,Sm,6,201000000
4 PAO1 2 Sa+Sm 7 8000000,4,PAO1,2,Sa+Sm,7,8000000
4 PAO1 2 Sa+Sm 7 137000,4,PAO1,2,Sa+Sm,7,137000
4 PAO1 2 Sa+Sm 7 13000000,4,PAO1,2,Sa+Sm,7,13000000
4 PAO1 2 Sa+Sm 7 9000000,4,PAO1,2,Sa+Sm,7,9000000
4 PAO1 2 Sa+Sm 7 64000000,4,PAO1,2,Sa+Sm,7,64000000
4 lasR 2 Sa+Sm 8 42000000,4,lasR,2,Sa+Sm,8,42000000
4 lasR 2 Sa+Sm 8 216000000,4,lasR,2,Sa+Sm,8,216000000
4 lasR 2 Sa+Sm 8 182000000,4,lasR,2,Sa+Sm,8,182000000
4 lasR 2 Sa+Sm 8 122000000,4,lasR,2,Sa+Sm,8,122000000
4 lasR 2 Sa+Sm 8 175000000,4,lasR,2,Sa+Sm,8,175000000
